header	tu_fan_in	direct_local_includers
editor_playback_types.h	190	5
timeline_fps.h	190	20
editor_timeline_types.h	188	10
editor_action_result.h	183	2
editor_shared_core.h	183	9
playback_timing_context.h	181	5
editor_timeline_fwd.h	177	1
transform_skip_aware_timing.h	177	11
editor_shared_render_sync.h	176	10
editor_shared_transcript.h	176	11
editor_shared_effects.h	175	8
editor_shared_keyframes.h	175	12
editor_shared_media.h	175	8
editor_shared_timing.h	175	18
editor_shared.h	173	83
background_fill_effect_fwd.h	97	4
qt_compat.h	97	17
frame_handle.h	94	23
core/geometry.h	77	8
debug_controls.h	77	38
render.h	75	10
loiacono/spectrum_settings_dialog.h	64	2
memory_budget.h	64	10
preview_surface.h	63	15
async_decoder.h	62	16
cpu_overlay_render_backend.h	53	11
transcript_engine.h	52	28
media_pipeline_shared.h	41	4
ffmpeg_compat.h	40	2
render_internal.h	39	22
transcript_document_io.h	37	4
transcript_document_edit_service.h	36	2
transcript_document_save_controller.h	36	2
core/image_buffer.h	35	4
preview_interaction_state.h	35	11
render_contract_types.h	35	6
transcript_document_session.h	35	4
editor_effect_presets.h	34	8
speaker_section_selection_timing_service.h	30	2
table_tab_base.h	30	2
facedetections_time_mapping.h	29	15
speaker_section_export_item.h	29	1
speakers_tab.h	29	12
timeline_layout.h	29	5
timeline_renderer.h	29	4
timeline_widget.h	29	13
playback_stage_metrics.h	26	3
speakers_table.h	26	8
audio_time_stretch.h	24	4
audio_time_stretch_cache.h	24	4
facedetections_types.h	24	3
keyframe_tab_base.h	24	5
facedetections_artifact_utils.h	23	23
inspector_pane.h	23	6
json_io_utils.h	23	23
project_manager.h	22	5
transcript_tab.h	22	5
audio_engine.h	21	4
facedetections_runtime.h	21	19
render_runtime.h	21	3
decoder_context.h	20	19
grading_tab.h	20	3
clips_tab.h	19	2
control_server.h	19	2
corrections_tab.h	19	2
editor_pane.h	19	2
effects_tab.h	19	2
explorer_pane.h	19	2
history_tab.h	19	3
opacity_tab.h	19	2
output_tab.h	19	2
pipeline_tab.h	19	2
profile_tab.h	19	2
projects.h	19	2
properties_tab.h	19	2
sync_tab.h	19	2
titles_tab.h	19	2
tracks_tab.h	19	2
video_keyframe_tab.h	19	2
clip_serialization.h	18	18
editor.h	18	18
facedetections_tracking.h	17	10
detector_settings.h	16	10
editor_document_core.h	14	8
speakers_tab_internal.h	14	14
background_fill_effect.h	13	13
preview_view_transform.h	13	14
vulkan_zero_copy_face_detector.h	12	9
timeline_cache_seek_resync.h	11	2
keyframe_table_shared.h	10	10
rtaudio/RtAudio.h	10	14
timeline_cache.h	10	10
render_vulkan_shared.h	9	9
titles.h	9	9
vulkan_facedetections_offscreen_tuning.h	9	5
decoder_ffmpeg_utils.h	8	8
facefind_window.h	7	4
vulkan_detector_frame_handoff.h	7	6
vulkan_facedetections_offscreen_detection_filters.h	7	6
vulkan_resources.h	7	5
audio_source_key.h	6	6
direct_vulkan_preview_presenter.h	6	6
editor_document_core_json.h	6	6
editor_tab_edit_effects.h	6	6
facestream_overlay_snapshot.h	6	3
preview_frame_selection.h	6	6
preview_speaker_profiles.h	6	6
vulkan_clear_helpers.h	6	3
vulkan_facedetections_offscreen_artifact_io.h	6	7
waveform_service.h	6	6
control_server_http_utils.h	5	2
direct_vulkan_preview_config.h	5	5
direct_vulkan_preview_interaction.h	5	5
facedetections_assignment_services.h	5	5
facedetections_generation.h	5	5
grading_histogram_widget.h	5	5
playback_debug.h	5	6
preview_overlay_model.h	5	1
processing_job_manifest.h	5	5
render_backend.h	5	5
speaker_flow_debug.h	5	5
speaker_track_assignment_service.h	5	5
audio_preview_support.h	4	4
control_server_ui_utils.h	4	4
control_server_worker.h	4	4
decoder_image_io.h	4	4
direct_vulkan_preview_geometry.h	4	4
loiacono/loiacono_vulkan_compute.h	4	2
playback_clock_coordinator.h	4	4
playback_frame_pipeline.h	4	4
speaker_document_edit_ops.h	4	4
speaker_export_harness.h	4	4
startup_project_state.h	4	4
transcript_overlay_cache_key.h	4	4
vulkan_facedetections_offscreen_options.h	4	3
vulkan_pipeline.h	4	4
vulkan_preview_surface.h	4	4
vulkan_text_renderer.h	4	4
auto_sync_plan.h	3	3
control_server_media_diag.h	3	3
decode_trace.h	3	3
decoder_benchmark_utils.h	3	3
direct_vulkan_preview_audio.h	3	3
direct_vulkan_preview_backend.h	3	3
editor_runtime.h	3	3
editor_shared_keyframes_cache.h	3	3
editor_title_opacity_keyframe_ops.h	3	3
editor_transform_keyframe_ops.h	3	3
export_timing.h	3	3
facedetections_debug.h	3	3
identity_resolution.h	3	3
imgui_preview_window.h	3	3
imgui_project_io.h	3	3
loiacono/loiacono_rolling.h	3	12
mask_tab.h	3	3
preview_face_track_click_policy.h	3	3
preview_surface_factory.h	3	3
processing_job_docker.h	3	3
render_qt_compat.h	3	3
standalone_export_renderer.h	3	3
standalone_preview_renderer.h	3	3
standalone_timeline_renderer.h	3	3
track_avatar_utils.h	3	3
transport_icons.h	3	3
vulkan_audio_tab.h	3	3
vulkan_effect_synth.h	3	3
vulkan_facedetections_offscreen_benchmark.h	3	3
vulkan_facedetections_offscreen_progress.h	3	3
vulkan_facedetections_offscreen_resume_state.h	3	3
vulkan_res10_ncnn_face_detector.h	3	3
vulkan_scrfd_ncnn_face_detector.h	3	3
audio_mix_readiness.h	2	2
direct_vulkan_frame_handoff_pipeline.h	2	2
direct_vulkan_preview_overlay_rendering.h	2	2
direct_vulkan_preview_transcript.h	2	2
editor_ai_helpers.h	2	2
editor_document_render_bridge.h	2	2
editor_preview_edit_helpers.h	2	2
editor_runtime_qt_bridge.h	2	2
export_vulkan_preview_widget.h	2	2
frame_buffer_utils.h	2	2
gpu_compositor.h	2	2
loiacono/loiacono_parallel.h	2	5
null_preview_surface.h	2	2
offscreen_vulkan_renderer_backend.h	2	2
offscreen_vulkan_renderer_helpers.h	2	2
render_contract_json.h	2	2
rtaudio/rtaudio_c.h	2	3
runtime_control_server.h	2	2
timeline_container.h	2	2
track_sidebar.h	2	2
transcript_runtime_cache.h	2	2
vulkan_backend.h	2	2
vulkan_facedetections_offscreen_checkpoint_writer.h	2	2
vulkan_facedetections_offscreen_control_panel.h	2	2
vulkan_facedetections_offscreen_opencv_dnn.h	2	2
vulkan_facedetections_offscreen_preview_io.h	2	2
vulkan_facedetections_offscreen_runner.h	2	2
vulkan_facedetections_offscreen_vulkan_harness.h	2	2
inspector_controller.h	1	1
preview_renderer_backend.h	1	1
preview_widget_factory.h	1	1
rtaudio/include/asio.h	1	4
rtaudio/include/asiodrivers.h	1	3
rtaudio/include/asiolist.h	1	3
rtaudio/include/asiosys.h	1	4
rtaudio/include/ginclude.h	1	1
rtaudio/include/iasiodrv.h	1	5
rtaudio/include/iasiothiscallresolver.h	1	2
visual_effects_shader.h	1	1
